Nº;MES;DIRIGIDA A;TIPO;DETALLE;;;;;;;;;;;;;;;;;;;;;;;
574;4;SISTEMAS;SUGERENCIA;todo deberia ser mas intuitivo  para la gente que no esta familiarizada con el uso de recursos informaticos ;;;;;;;;;;;;;;;;;;;;;;;
575;4;SISTEMAS;QUEJA;la plataforma de atm es pésima, no solo esteticamente, que es lo de menos, funciona muy lento, tarda en actualizar y la plataforma que han habilitado de trámites es confusa, con poca informacion y la demora es imposible de tolerar, tienen decenas de empleados al y tardan semanas en resolver los trámites. la administracion suarez en materia de impuestos deja mucho que desear, de las peores que vi, incluso peores que las del peronismo.;;;;;;;;;;;;;;;;;;;;;;;
576;4;GESTION INTERNA;RECLAMO;por favor, actualizar el pedido de códigos, ya que piden el 551, y no existe. tuve que ir dos veces a comprar a la bolsa de comercio, cuando averigüé cuál era el correcto. también esto podría evitarse, ya que sí o sí, tenemos que ir a comprar los códigos al centro. ¿no pueden dar la opción de generar un vep? estamos en época de pandemia, tenemos que evitar salir de casa.;;;;;;;;;;;;;;;;;;;;;;;
577;4;SISTEMAS;FELICITACIONES;es mejor todo automatizado, pero no dejar de poder solucionar las cosas en forma personal;;;;;;;;;;;;;;;;;;;;;;;
578;4;SISTEMAS;FELICITACIONES;desde ya como siempre muchas gracias. porque es dificil lo que estamos viviendo. gracias por su gestion;;;;;;;;;;;;;;;;;;;;;;;
579;4;ATENCION CONTRIBUYENTE;QUEJA;malisima la atencion hace mas de un mes que intento hacer un reclamo, por todos los canales virtuales ya que no puedo acercarme a las oficinas. la atencion telefonica pęsima;;;;;;;;;;;;;;;;;;;;;;;
580;4;SISTEMAS;SUGERENCIA;que sea mas facil el realizar tramites dentro de mis tramites ;;;;;;;;;;;;;;;;;;;;;;;
581;4;SISTEMAS;QUEJA;no cargar al querer ver el detalle del rodado o inmueble, sale error al querer ver ;;;;;;;;;;;;;;;;;;;;;;;
582;4;;VARIOS;soy monotributista social deseo saber si tengo que inscribirme en ingresos brutos y como ;;;;;;;;;;;;;;;;;;;;;;;
583;4;SISTEMAS;QUEJA;es muy complicado saber como se puede sellar un pagare ;;;;;;;;;;;;;;;;;;;;;;;
584;4;GESTION INTERNA;QUEJA;compre una moto nunca me llego la patente anual  no figuro en atm. realice el reclamo 2 veces pero no recibo respuesta. no voy a pagar con intereses por que el error es de atm-  la moto se patento tengo el titulo y tarjeta verde.;;;;;;;;;;;;;;;;;;;;;;;
585;4;SISTEMAS;SUGERENCIA;edemsa ya hace lo mismo que ésta página solo con un número de whatsapp, debería simplificar los trámites de esa manera,  los adultos mayores están totalmente fuera de comprender este menu en su gran mayoría ;;;;;;;;;;;;;;;;;;;;;;;
586;4;FISCALIZACION;RECLAMO;las inspecciones de fiscalizac.externa deberian tener un expte. elect. de forma q se pueda ir chequeando el avance de la inspeccion y ver a tiempo si se emite una resolución y estar a tiempo para presentar el recurso aclaratorio ;;;;;;;;;;;;;;;;;;;;;;;
587;4;SISTEMAS;QUEJA;no se puede cargar todos los pedidos de pago de sellados. algunos no se procesan y luego tenemos muchas demoras;;;;;;;;;;;;;;;;;;;;;;;
588;4;GESTION INTERNA;SUGERENCIA;bajar costos;;;;;;;;;;;;;;;;;;;;;;;
589;4;GESTION INTERNA;SUGERENCIA;agilizar las respuestas a solicitudes a traves del contacto por correo electronico.;;;;;;;;;;;;;;;;;;;;;;;
590;4;SISTEMAS;SUGERENCIA;en sellos seria importante que cuando hay algún error lo indiquen con claridad, ayudándonos con los pasos a seguir para solucionarlo a la brevedad;;;;;;;;;;;;;;;;;;;;;;;
591;4;SISTEMAS;SUGERENCIA;mejorar el sistema tajus para la correcta y efectiva liquidacion de tasa de justicia;;;;;;;;;;;;;;;;;;;;;;;
592;4;GESTION INTERNA;SUGERENCIA;que se den respuestas en plazos relativamente razonables ya que en ee 22440-2021 no la he tenido despues de 20 dìas.;;;;;;;;;;;;;;;;;;;;;;;
593;4;SISTEMAS;FELICITACIONES;es muy buena la página.;;;;;;;;;;;;;;;;;;;;;;;
594;4;GESTION INTERNA;SUGERENCIA;pago en cuotas sin interes con tarjetas de banco nacion (empleados publicos);;;;;;;;;;;;;;;;;;;;;;;
595;4;GESTION INTERNA;VARIOS;moratoria;;;;;;;;;;;;;;;;;;;;;;;
596;4;;QUEJA;tuve que crear un reclamo para mi expediente electronico porque no tuve respuesta. hay un sector de chat habilitado, el cual no responden. dejo el expediente para ver si pueden apresurar algo ee-19686-2021;;;;;;;;;;;;;;;;;;;;;;;
597;4;GESTION INTERNA;FELICITACIONES;puse que el trámite fue resuelto en forma muy satisfactoria pero aún no lo se porque lo acabo de presentar;;;;;;;;;;;;;;;;;;;;;;;
598;4;GESTION INTERNA;SUGERENCIA;sellado de impuestos sea de manera presencial;;;;;;;;;;;;;;;;;;;;;;;
599;4;SISTEMAS;RECLAMO;resolver las páginas de error de forma urgente, es un punto ciego en el resultado de un trámite.;;;;;;;;;;;;;;;;;;;;;;;
600;4;SISTEMAS;QUEJA;en realidad no puedo entender porque para cobrar esta regulado para algunos casos con dgr y para otros no el tramite en dgr es en vano no creo que sea falla tecnologica;;;;;;;;;;;;;;;;;;;;;;;
601;4;SISTEMAS;SUGERENCIA;como agente de retención sería oportuno poder visualizar las exenciones de los contribuyentes  que  tienen relación con la entidad.;;;;;;;;;;;;;;;;;;;;;;;
602;4;SISTEMAS;SUGERENCIA;debería tener ayuda atraves asistente de persona, para guiar al contribuyente por escrito no es suficiente hay personas que no saben hacerlo ;;;;;;;;;;;;;;;;;;;;;;;
603;4;SISTEMAS;SUGERENCIA;la pestaña de formulación de trámite on line sería más visible en el mismo encabezado  y me caducó la sesión porque creí que la redacción de la nota se hacía en la misma página: sugeriría que pongan antes de iniciar un expediente un  aviso que diga al usuario que haga la nota en word u otro formato para ser adjuntada ;;;;;;;;;;;;;;;;;;;;;;;
604;4;GESTION INTERNA;QUEJA;en cuatro meses no se movió el expediente  id 130184 número de expediente ee-56348-2020.;;;;;;;;;;;;;;;;;;;;;;;
605;4;SISTEMAS;QUEJA;es complicado obtener boletas anteriores del impuesto inmobiliario;;;;;;;;;;;;;;;;;;;;;;;
606;4;ATENCION CONTRIBUYENTE;QUEJA;muy malo el servicio de atención al publico en forma personal no todo se puede solucionar en forma electrónica.;;;;;;;;;;;;;;;;;;;;;;;
607;4;SISTEMAS;SUGERENCIA;soy el contador del contribuyente. algunas funcionalidades podrían ser mejoradas.;;;;;;;;;;;;;;;;;;;;;;;
608;4;SISTEMAS;SUGERENCIA;tendría que ser mas amplia la explicación para realizar los tramites y un numero para que te atienda una persona real y explique cuando no se puede realizar un tramite virtual;;;;;;;;;;;;;;;;;;;;;;;
609;4;SISTEMAS;QUEJA;diseño poco responsivo y con tecnologías antiguas. ;;;;;;;;;;;;;;;;;;;;;;;
610;4;SISTEMAS;QUEJA;quiero cambiar el domicilio no se como;;;;;;;;;;;;;;;;;;;;;;;
611;4;SISTEMAS;FELICITACIONES;facil agil y practica;;;;;;;;;;;;;;;;;;;;;;;
612;4;GESTION INTERNA;QUEJA;siempre me han respondido satifactoriamente en mis trámites, pero el último que hice aún nada y ya lleva 10 días de iniciado;;;;;;;;;;;;;;;;;;;;;;;
613;4;SISTEMAS;FELICITACIONES;excelente servicio , comparado con otras jurisdicicones del pais;;;;;;;;;;;;;;;;;;;;;;;
614;4;GESTION INTERNA;QUEJA;"como pueden demorar semanas en responder expedientes electronicos, ya que no atienden de forma presencial, podrian agilizar el tratamiento de los expedientes.
es terrible la atención, la demora, las millones de constancias que piden, los ""peros"" que ponen, como para variar, oficina pública, un desastre, casi tanto como el gobierno de suárez, solo les interesa recaudar y recaudar, encima que uno esta predipuesta a cumplir con todas las normas e impuestos, pareciera que te toman el pelo con lo que demoran en resolver trámites, si es que demoran... hasta retenciones en dolares me hacen!!!! 
son un verdadero desastre!";;;;;;;;;;;;;;;;;;;;;;;
615;4;SISTEMAS;FELICITACIONES;ninguna ;;;;;;;;;;;;;;;;;;;;;;;
616;4;SISTEMAS;SUGERENCIA;debe utilizarse un lenguaje sencillo para que cualquier contribuyente pueda entender como hacer un trámite electronico. debe poder abrirse globos de ayuda e instructivos mientras se hace un trámite electrónico, para que ante cualquier duda, pueda evacuarse y seguir y no abortar. debe extenderse el plazo para acreditar el pago del boleto de sellos, ya que el cliente a veces nos envía el comprobante el último día y si no hay conectividad, archivan el expediente y luego hay que crear otro trámite para poder enviarlo.;;;;;;;;;;;;;;;;;;;;;;;
617;4;GESTION INTERNA;QUEJA;cómo se puede facilitar la baja definitiva del monotributo o mum? es tan complicado comprender la terminología que utilizan para alguien que no entiende mucho de procedimientos legales y contables. no tengo contador que me ayude y la verdad se me hace difícil.;;;;;;;;;;;;;;;;;;;;;;;
618;4;GESTION INTERNA;QUEJA;el día 26 de diciembre de 2020 realicé el pago de mis cuentas pendientes mediante la modalidad de débito bancario. la idea era que cancelando antes del 31 de diciembre pudiera obtener los descuentos para el año siguiente. el sistema automáticamente y sin advertirme, generó el pago con una fecha diferida posterior al día de pago y posterior al 31 de diciembre. al no advertir el débito en mi cuenta de banco, intenté hacer el pago por otros medios, pero el sistema bloqueó cualquier otra posibilidad. con lo cual perdí los descuentos para el año 2021. generé un expediente para que me lo reconozcan, pero todavía no tengo respuesta.;;;;;;;;;;;;;;;;;;;;;;;
619;4;SISTEMAS;FELICITACIONES;sin comentarios;;;;;;;;;;;;;;;;;;;;;;;
620;4;GESTION INTERNA;QUEJA;los expedientes electrónicos no son resueltos con celeridad y mucho menos claridad. termino sacando turno presencial en atm y muy poca gente que conozca los temas atiende... no funciona el sistema;;;;;;;;;;;;;;;;;;;;;;;
621;4;GESTION INTERNA;QUEJA;me siento estafada, he pagado el total del anual en timpo y forma con boleto generado por atm, y mientras a otros se les bajo el impuesto, yo por pagar en tiempo y forma tengo deuda con interes y perdida del derecho al descuento por pago anual, necesito solucion inmediata o demandaré la irregularidad.;;;;;;;;;;;;;;;;;;;;;;;
622;4;SISTEMAS;RECLAMO;es difícil entender el progreso del expediente y su consulta;;;;;;;;;;;;;;;;;;;;;;;
623;4;SISTEMAS;FELICITACIONES;ojalá sigamos trabajando de esta manera, vía internet, ya que ahorra tiempo y costos.;;;;;;;;;;;;;;;;;;;;;;;
624;4;GESTION INTERNA;QUEJA;es necesario que trabajen y resuelvan los expediente electronicos y solucionan los problemas de los contribuyentes. cometen muchos errores los empleados . el que toco para resolver el problema sr. murua no avanza con la solucion de los problemas;;;;;;;;;;;;;;;;;;;;;;;
625;4;SISTEMAS;SUGERENCIA;poder dar de baja el domicilio real y dar de baja rentas cuando ya no ejerces actividad dentro de esa provincia.;;;;;;;;;;;;;;;;;;;;;;;
626;4;ATENCION CONTRIBUYENTE;SUGERENCIA;mayor atención telefónica.;;;;;;;;;;;;;;;;;;;;;;;
627;4;SISTEMAS;SUGERENCIA;instrumentar un sistema agil  para consultas de profesionales con personal formado en la materia (impuesto ingresos brutos, regimenes de recaudacion );;;;;;;;;;;;;;;;;;;;;;;
628;4;GESTION INTERNA;QUEJA;deben responder los tramites on line- a tiempo llevo dos uno de febrero otro de marzo ee 1175-2021 y ee 21124-2021 del 20/02/2021 y el otro del 23/03/2021 y no puede ser que haga otro expediente para que por favor respondan el primero  ya que el segundo que hice fue para que contesten el primero.;;;;;;;;;;;;;;;;;;;;;;;
629;4;GESTION INTERNA;QUEJA;estoy esperando una solución hace 4 años sin resolver  ¿qué puedo sugerir?;;;;;;;;;;;;;;;;;;;;;;;
630;4;SISTEMAS;QUEJA;la plataforma de atm es una porquería. complicadísima, inentendible, no funciona. no se puede liquidar tasa de justicia. tramitar un expediente electrónico para liquidar tasa de justicia o aprobar un plano de mensura es un auténtico infierno. manejo plataformas del poder judicial, anses, afip, dge, etcétera. no es nuevo para mí. pero nada más ridículo que la plataforma de atm. osvaldo vega.;;;;;;;;;;;;;;;;;;;;;;;
631;4;SISTEMAS;RECLAMO;favor consunten con un abogado cómo mejorar la plataforma para liquidación de tasa de justicia. es extremadamente compleja inutilmente. osvaldo vega;;;;;;;;;;;;;;;;;;;;;;;
632;4;GESTION INTERNA;QUEJA;lamento que en momentos tan difíciles como los que transitamos, sea tan dificil encontrar una forma satisfactoria de solucionar un problema que, en definitiva, corresponde al respeto que se me debe como contribuyente responsable de mis obligaciones. ;;;;;;;;;;;;;;;;;;;;;;;
633;4;;VARIOS;he iniciado un trmite asi que no puedo contestar como resulto;;;;;;;;;;;;;;;;;;;;;;;
634;4;SISTEMAS;FELICITACIONES;muy bueno!;;;;;;;;;;;;;;;;;;;;;;;
635;4;GESTION INTERNA;QUEJA;hay tramites que depende en las manos de quien caiga los resuelve con rapidez, en cambio otros tardan mas de un mes en resolver;;;;;;;;;;;;;;;;;;;;;;;
636;4;SISTEMAS;SUGERENCIA;que el sistema se abra con google crown;;;;;;;;;;;;;;;;;;;;;;;
637;4;SISTEMAS;RECLAMO;para un trámite de sellado de contrato alquiler vivienda hay dificultades cuando hay algún problema. en las preguntas y repuestas  frecuentes no aparece nada en caso de cuestiones que no se pueden resolver en forma lineal (avaluaos, valor locativo de referencia, o algún problema que no termina de cerrar en el contrato). tuvimos varios intentos on line y tuvimos que recurrir personalmente a atm para asesorar y volver al tramite on line pero con la consigna apropiada.;;;;;;;;;;;;;;;;;;;;;;;
638;4;GESTION INTERNA;QUEJA;las solicitudes de sellado de ordenes de compra tienen una demora que considero excesiva  y que afecta notablemente la gestión de presentación de facturas para el cobro;;;;;;;;;;;;;;;;;;;;;;;
639;4;GESTION INTERNA;RECLAMO;quisiera recepción por correo electrónico . pague antes de modificaciones y tengo problemas;;;;;;;;;;;;;;;;;;;;;;;
640;4;SISTEMAS;SUGERENCIA;más claridad en el menú para acceder a las opciones de oficina virtual. menú muy chicos y poco intuitivos. ;;;;;;;;;;;;;;;;;;;;;;;
641;4;SISTEMAS;SUGERENCIA;agregar un teléfono para consultas y que atiendan los llamados.;;;;;;;;;;;;;;;;;;;;;;;
642;4;ATENCION CONTRIBUYENTE;QUEJA;me parece totalmente anti empatico que en la sucursal de san martin dejen a la gente esperando afuera (muchos de ellos ancianos muy mayores de edad) siendo que cuentan con  suficiente espacio para hacer pasar a una cantidad aunque sea minima. y la atencion es pauperrima, lenta y de mala gana.;;;;;;;;;;;;;;;;;;;;;;;
643;4;GESTION INTERNA;QUEJA;que por favor respondan los tramites que se inician por mis tramites.;;;;;;;;;;;;;;;;;;;;;;;
644;4;SISTEMAS;QUEJA;la página se cae mucho  y en vencimientos suele estar en mantenimiento. ;;;;;;;;;;;;;;;;;;;;;;;
645;4;ATENCION CONTRIBUYENTE;FELICITACIONES;es como en todo trabajo hay empleados eficientes y otros no. ;;;;;;;;;;;;;;;;;;;;;;;
646;4;SISTEMAS;SUGERENCIA;sugerencia:  cuando  un contribuyente  tiene  saldo  a  favor  y se lo aplica  en otro  impuesto  deberia  figurar  ese descuento en el  impuesto en  en donde  se aplico.;;;;;;;;;;;;;;;;;;;;;;;
647;4;GESTION INTERNA;SUGERENCIA;deben ser mas agiles al responder;;;;;;;;;;;;;;;;;;;;;;;
648;4;SISTEMAS;SUGERENCIA;por la pandemia debería haber un canal de consultas online;;;;;;;;;;;;;;;;;;;;;;;
649;4;GESTION INTERNA;SUGERENCIA;deberian asignar con mayo rapidez los exptes electronicos en el sayges;;;;;;;;;;;;;;;;;;;;;;;
650;4;GESTION INTERNA;SUGERENCIA;la resolución de reclamos debería ser más ágil. gracias!;;;;;;;;;;;;;;;;;;;;;;;
651;4;SISTEMAS;RECLAMO;creo que falta información o posibilidades de aclarar los trámites a realizar o ser más como la página de afip en cuanto a cosas sencillas como compensar deuda;;;;;;;;;;;;;;;;;;;;;;;
652;4;GESTION INTERNA;QUEJA;los tramites presentados en algunos casos llevan meses sin ser resueltos por parte de atm;;;;;;;;;;;;;;;;;;;;;;;
653;4;GESTION INTERNA;RECLAMO;"necesitaba enviarles la denuncia de venta del auto que tenía ( krg 253) pero no encontré la opción ""denuncia de  venta por ello mandé un correo electrónico  "" luego de recibir la respuesta ingresé en ""trámites online"" pero alli tampoco estaba la opción de mandar la denuncia de venta. espero que sea de utilidad la gestión que realice.                                                    muchas gracias";;;;;;;;;;;;;;;;;;;;;;;
654;4;GESTION INTERNA;QUEJA;los trámites iniciados deben tener una solución, la gente responsable no esta comprometida o no esta capacitada adecuadamente. ;;;;;;;;;;;;;;;;;;;;;;;
655;4;SISTEMAS;FELICITACIONES;es facil de usar aunque los tramites online no los resuelven o mandan mail al respecto;;;;;;;;;;;;;;;;;;;;;;;
656;4;SISTEMAS;SUGERENCIA;fíjense el portal de ciudadano digital de córdoba y vean lo que es bueno.;;;;;;;;;;;;;;;;;;;;;;;
657;4;SISTEMAS;SUGERENCIA;deberian haber tutoriales para que las personas comunes puedan manejarlo;;;;;;;;;;;;;;;;;;;;;;;
658;4;SISTEMAS;RECLAMO;deberia ser mas simple el poder pagar y llevo con los boletos adheridos hace bastante y no me llega la notificacion al mail no se por que. trate de abonar el automotor con vep y me dio error 3 veces;;;;;;;;;;;;;;;;;;;;;;;
659;4;GESTION INTERNA;QUEJA;seria importante que así como reclaman las deudas tributarias en tiempo y forma, también deberían registrar los  tramites en tiempo y forma, los contribuyentes estaríamos mas satisfechos no reclamando tramites de hace 4 meses atrás.;;;;;;;;;;;;;;;;;;;;;;;
660;4;SISTEMAS;FELICITACIONES;creo que es una excelente herramienta;;;;;;;;;;;;;;;;;;;;;;;
661;4;SISTEMAS;QUEJA;la verdad una vergüenza un lió para poder mandar documentación ;;;;;;;;;;;;;;;;;;;;;;;
662;4;GESTION INTERNA;SUGERENCIA;mas rapidez;;;;;;;;;;;;;;;;;;;;;;;
663;4;GESTION INTERNA;QUEJA;hay mucha demora en recibir repuestas;;;;;;;;;;;;;;;;;;;;;;;
664;4;SISTEMAS;SUGERENCIA;tendría que haber mas opciones cuando uno quiere generar expte por ejemplo planes de pago.;;;;;;;;;;;;;;;;;;;;;;;
665;4;ATENCION CONTRIBUYENTE;QUEJA;malisima la atencion por mis tramites a la hora de hacer reclamos, demoran muchisimo;;;;;;;;;;;;;;;;;;;;;;;
666;4;SISTEMAS;SUGERENCIA;deberían mejorar el tema para pagar intereses de los impuestos, porque es complejo sin necesidad.;;;;;;;;;;;;;;;;;;;;;;;
667;4;SISTEMAS;RECLAMO;falta claridad  para la búsqueda de información y trámites. diseño poco comprensible y amigable porque hay demasiada información y secciona mucho la misma en página que se abren por fuera de la misma;;;;;;;;;;;;;;;;;;;;;;;
668;4;SISTEMAS;FELICITACIONES;ninguna. todo bien para mì;;;;;;;;;;;;;;;;;;;;;;;
669;4;GESTION INTERNA;RECLAMO;por favor. no es la primera vez que sucede que reclaman períodos de pago que han sido bonados hace 5 meses.- verifiquen lo que reclaman antes de enviar una notificación;;;;;;;;;;;;;;;;;;;;;;;
670;4;GESTION INTERNA;QUEJA;toda via no ha sido resuelta mi solicitud;;;;;;;;;;;;;;;;;;;;;;;
671;4;SISTEMAS;RECLAMO;deben mejorar la comunicación entre afip y atm y mostrar la misma información. un problema tener que reclamarles a ustedes por deudas incorrectas y cancelada en tiempo y forma, por fallas de sistema entre los organismos.;;;;;;;;;;;;;;;;;;;;;;;
672;4;GESTION INTERNA;QUEJA;cuando notifican una deuda, no indican el procedimiento para resolverlo;;;;;;;;;;;;;;;;;;;;;;;
673;4;ATENCION CONTRIBUYENTE;QUEJA;el trato  e información que dan cuando nos comunicamos por teléfono debería mejorar notablemente...!!!;;;;;;;;;;;;;;;;;;;;;;;
674;4;SISTEMAS;QUEJA;no es claro cómo arribar hasta el trámite que uno necesita;;;;;;;;;;;;;;;;;;;;;;;
675;4;GESTION INTERNA;QUEJA;archivaron un pedido debaja. no se que falta. ;;;;;;;;;;;;;;;;;;;;;;;
676;4;GESTION INTERNA;QUEJA;todavia mi trámite no fue resuelto. espero se resuelva prontamente.;;;;;;;;;;;;;;;;;;;;;;;
677;4;SISTEMAS;RECLAMO;sellos web no toma sellados de instrumentos prescriptos y deberia generar la constancia ya que es necesario para otros tramites, por ejemplo escrituracion inmueble a fin de retener el escribano impuesto pertinente sin multa e intereses. ademas de ser un derecho   ;;;;;;;;;;;;;;;;;;;;;;;
678;4;SISTEMAS;RECLAMO;"la página no es intuitiva, los impuestos automotor e ingresos brutos no tiene la opción de pago en la pagina web (al menos yo no la encontré) debería tener las opciones de pago anual y cada período todo separado así podremos seleccionar el pago que necesitamos realizar. 
en enero de 2021 realicé el pago mediante vep _monotributo unificado- de la primer cuota de iibb y no la han registrado. ";;;;;;;;;;;;;;;;;;;;;;;
679;4;SISTEMAS;SUGERENCIA;colocar un buscador para los tramites. colocar un chatbot;;;;;;;;;;;;;;;;;;;;;;;
680;4;SISTEMAS;RECLAMO;sugiero corroborar adecuadamente los pagos de los contribuyentes antes de reclamar deudas inexistentes. ;;;;;;;;;;;;;;;;;;;;;;;
681;4;SISTEMAS;QUEJA;no responden nunca los tramites realizados en la oficina virtual ,obligando a hacer el tramite presencial;;;;;;;;;;;;;;;;;;;;;;;
682;4;GESTION INTERNA;QUEJA;bajen el impuesto al automotor.;;;;;;;;;;;;;;;;;;;;;;;
683;4;ATENCION CONTRIBUYENTE;QUEJA;demoran mucho en atender 148 opción 1;;;;;;;;;;;;;;;;;;;;;;;
684;4;GESTION INTERNA;SUGERENCIA;que agilicen un poco la respuesta a los trámites online;;;;;;;;;;;;;;;;;;;;;;;
685;4;SISTEMAS;SUGERENCIA;sería posible mejorar el funcionamiento de la página en cuanto a poder averiguar deudas de otros vehículos sin ser el titular ni ser usuario, ésto facilitaría a la hora de eventualmetne realizar compra de algún vehículo usado, y poder saber si tiene deuda o no, antes de hacer la operación. gracias ;;;;;;;;;;;;;;;;;;;;;;;
686;4;SISTEMAS;RECLAMO;el sistema tiene muchas fallas por ejemplo: 1) pagos correctamente imputados a los meses desaparecen del sistema y llegan intimaciones, 2) mendoza activa no dejaba compensar, ahora si pero por el saldo deja solo desde la página generar un vep por la diferencia con poco plazo y si expira al otro día no deja volver a generar el vep, 3)hoy no se pueden generar los veps  por boleto automotor que expiran mañana, 4)la oficina virtual no deja un registro de los pagos efectuados ni saldos a favor, 5)en mum no deja reimputar pagos duplicados que si se pueden realizar por afip, es decir no deja llevar una correcta visualización de la cuenta corriente, etc.;;;;;;;;;;;;;;;;;;;;;;;
687;4;SISTEMAS;FELICITACIONES;actualmente no haría ninguna sugerencia, la página es muy completa y clara;;;;;;;;;;;;;;;;;;;;;;;
688;4;;VARIOS;en la pregunta 4 todavia no se resuelve mi trámite. los menu de la pagina no son nada simples.....;;;;;;;;;;;;;;;;;;;;;;;
689;4;GESTION INTERNA;SUGERENCIA;solucionar libre deuda inmobiliario;;;;;;;;;;;;;;;;;;;;;;;
690;4;SISTEMAS;FELICITACIONES;por favor sigan trabajando de esta forma en un alto nivel de eficiencia, muchas gracias;;;;;;;;;;;;;;;;;;;;;;;
691;4;GESTION INTERNA;SUGERENCIA;que los trámites que uno realiza sean resueltos en un breve tiempo, ya que no los solucionan en otros casos me ha pasado, tuve que pagar dos veces una deuda, porque no me computaron los pagos y no me dieron solución al reclamo;;;;;;;;;;;;;;;;;;;;;;;
692;4;GESTION INTERNA;QUEJA;tardan mucho en resolver los reclamos;;;;;;;;;;;;;;;;;;;;;;;
693;4;SISTEMAS;FELICITACIONES;difundir más la existencia y uso de la pagina web de atm;;;;;;;;;;;;;;;;;;;;;;;
694;4;GESTION INTERNA;RECLAMO;estoy hace 10 días esperando que me generen un sellado para poder pagarlo y presentarlo ante tesoreria, esta hace 10 dias en tramite y no hay forma de contactarse con nadie de atm, los telefonos no funcionan y no hay otro medio de comunicarse. mucha tecnologia pero se necesita soporte a los contribuyentes;;;;;;;;;;;;;;;;;;;;;;;
695;4;SISTEMAS;FELICITACIONES;sigan con la virtualidad ;;;;;;;;;;;;;;;;;;;;;;;
696;4;ATENCION CONTRIBUYENTE;QUEJA;no hay ningún tipo de atención telefónica, todo es por tramites on line y no responden nunca a las consultas;;;;;;;;;;;;;;;;;;;;;;;
697;4;SISTEMAS;QUEJA;para los que no tenemos computadora y poco acceso a internet porque somos de otra generación esto es un desastre, nos va peor que las clases virtuales en los 5000 lotes;;;;;;;;;;;;;;;;;;;;;;;
698;4;GESTION INTERNA;SUGERENCIA;lo único que deberían mejorar, sería el tiempo de resolución de los trámites, ya que para un certificado de no retención demoraron 45 días.;;;;;;;;;;;;;;;;;;;;;;;
699;4;;VARIOS;espero resultados de la gestión realizada;;;;;;;;;;;;;;;;;;;;;;;
700;4;SISTEMAS;SUGERENCIA;"mejorar y actualizar ""mi tramites web"" en ""sellos"" con los nuevos numeros de padron (que son mas extensos) no se puede hacer en el momento. gracias";;;;;;;;;;;;;;;;;;;;;;;
701;4;ATENCION CONTRIBUYENTE;SUGERENCIA;mejorar comunicación con los empleados que resuelven los trámites. mas directa y por correo electrónico. permitir llamadas telefónicas para operar.;;;;;;;;;;;;;;;;;;;;;;;
702;4;SISTEMAS;FELICITACIONES;todo muy bien. gracias.;;;;;;;;;;;;;;;;;;;;;;;
703;4;SISTEMAS;FELICITACIONES;esta todo bien con la pagina y el servicio;;;;;;;;;;;;;;;;;;;;;;;
704;4;GESTION INTERNA;QUEJA;no cobren tanto;;;;;;;;;;;;;;;;;;;;;;;
705;4;SISTEMAS;QUEJA;realmente deben mejorar mucho.en sus registros figuro con varias patentes y a la fecha no tengo a mi nombre ninguno.;;;;;;;;;;;;;;;;;;;;;;;
706;5;SISTEMAS;RECLAMO;muy complicados algunos trámites uno se mete para ir averiguando y a cada paso lo consideran declaración jurada demasiado legalista para una oficina administrativa y complican los trámites, han retroalimentado su propio vocabulario no lo han adaptado al contribuyente que no es contribuyente es ciudadano. ;;;;;;;;;;;;;;;;;;;;;;;
707;5;SISTEMAS;QUEJA;este trámite de suspensión por robo no pedía código 03 , es decir, el contribuyente estaba exento , y ahora veo en el protocolo que lo pide no se desde cuando ni por qué.....;;;;;;;;;;;;;;;;;;;;;;;
708;5;SISTEMAS;SUGERENCIA;deberían agregar la opción de verificar los saldos a favor del contribuyente que surgen de las ddjj mensuales de ingresos brutos;;;;;;;;;;;;;;;;;;;;;;;
709;5;ATENCION CONTRIBUYENTE;SUGERENCIA;deben poner gente capacitada para resolver los trámites digitales;;;;;;;;;;;;;;;;;;;;;;;
710;5;GESTION INTERNA;QUEJA;por favor manden las boletas y no le sigan complicando más la vida a los ciudadanos;;;;;;;;;;;;;;;;;;;;;;;
711;5;GESTION INTERNA;QUEJA;que la gente que lee los expedientes aprendan a leer bien para dar soluciones rapidas. burros de mierda. ;;;;;;;;;;;;;;;;;;;;;;;
712;5;ATENCION CONTRIBUYENTE;SUGERENCIA;colocar otro linea alternativa. cuesta mucho comunicarse. para asesorarce. ;;;;;;;;;;;;;;;;;;;;;;;
713;5;SISTEMAS;QUEJA;cuesta entrar sayges;;;;;;;;;;;;;;;;;;;;;;;
714;5;ATENCION CONTRIBUYENTE;QUEJA;alguien que responda dudas...que no sea virtual.;;;;;;;;;;;;;;;;;;;;;;;
715;5;GESTION INTERNA;SUGERENCIA;mas rapidez en el sellado de los contratos de locacion por mis tramites;;;;;;;;;;;;;;;;;;;;;;;
716;5;SISTEMAS;RECLAMO;la página no se ve bien cuando se consulta en los celulares;;;;;;;;;;;;;;;;;;;;;;;
717;5;ATENCION CONTRIBUYENTE;QUEJA;la linea 148 es inaccesible. hay tramites que no pueden realizarse. ;;;;;;;;;;;;;;;;;;;;;;;
718;5;SISTEMAS;SUGERENCIA;hacerla más fácil para los mayores ;;;;;;;;;;;;;;;;;;;;;;;
