,P7,ingles
170,la pagina y el sistema es maravilloso solo que en la zona este no son eficientes ni rapidos no asi el resto de las zonas que trabajan muy bien,the page and the system is wonderful only that in the area this is not efficient or fast not so the rest of the areas that work very well
171,es poco claro cuando se tiene que adjuntar documentacion el tema firma,it is unclear when documentation has to be attached the subject
172,la seccion tramites on line es poco clara sobre todo en el tema de la firma tampoco permite ver que archivos se adjuntaron una vez< presentada,The Online Tracts section is unclear above all on the subject of the signature does not allow you to see what files were attached once <presented
173,por que me cobran ingresos brutos si soy jubilada con la minima,Because they charge me gross income if I am retired with the minimum
174,estaria bueno tener una espacio de consulta mas rapido y agil y no tener que esperar dias a que te respondan o abrir un tramite para sacarte una duda y esperar nuevamente dias a que te vuelvan a responder ,It would be nice to have a more fast and agile query space and not have to wait for days to answer or open a procedure to get a question and wait again for you to respond again
175,los expedientes de catastro tienen una demora muy grande y detienen el poco trafico inmobiliario perjudicando a los profesionales y propietarios,The cadastre records have a very large delay and stop the little real estate traffic harming professionals and owners
176,el envio de archivos adjuntos podria ser tambien en jpg porque la mayoria se fotografian,The shipment of attachments could also be in JPG because most are photographed
177,el unico incoveniente  que se me presento es el de no poder usar el item de beneficio de litigar  sin gastos,The only inconvenient that was presented to me is that of not being able to use the Item of benefit of litigar without expenses
178,se podria incorporar un seguimiento web para ver el estado en el cual se encuentran los tramites iniciados y tambien se podria incorporar un nivel de clasificacion segun la importancia de cada gestion p/ej hay dias en los cuales la constancia de cumplimiento fiscal es primordial y a veces perder tres dias fin de semana genera perder una licitacion o calificar en un pedido grande de proveedores hay tramites mucho mas importantes que otrosmuchas gracias,"We could incorporate a web follow-up to see the state in which the initiated procedures are found and a level of classification could also be incorporated according to the importance of each management for example, there are days in which the proof of tax compliance is paramount and sometimes Losing three days weekend generates to lose a tender or qualify in a large order of suppliers there are much more important procedures than othersMakes thanks"
179,podria haber un instructivo mas detallado para la seccion mis tramites online,There could be a more detailed instruction for the My Tramites Online Section
180,me canse de llamar al 148 interno 1 para que me asesoraran sobre este tema de sellos y nunca me atendieron,I get tired of calling 148 internal 1 so that they will advise me on this stamp theme and never attended me
181,resulta un poco engorroso el tema de los planes de pago su constitucion y luego acceder a ellos,It is a little cumbersome the issue of payment plans your constitution and then access them
182,los tramites son mas agiles por este medio,The procedures are more agile by this means
183,la respuesta en cuanto a ciertos tr{amites que no se pueden resolver por web es muy lenta,the answer as to certain tr {amites that can not be solved by web is very slow
184,hay algunos puntos en la pagina que no estan bien resueltos y dejan dudas un ejemplo es el expediente que he iniciado puesto que cuando pague un impuesto impago no me sumo los intereses y ahora han quedado pendientes sin permitirme pagarlos,There are some points on the page that are not well resolved and leave doubts an example is the file that I have started since when paying an unpaid tax I do not make the interests and now they have been pending without allowing me to afford them
